SBOID;SAID;DescriptionDE;DescriptionFR;DescriptionIT;DescriptionEN;AbbreviationDE;AbbreviationFR;AbbreviationIT;AbbreviationEN;OrganisationNumber;ContactEnterpriseMail;validFrom;validTo;types
ch:1:sboid:100644;100644;Autotransports St-Imier-Chasseral;Autotransports St-Imier-Chasseral;Autotransports St-Imier-Chasseral;Autotransports St-Imier-Chasseral;ASIC;ASIC;ASIC;ASIC;845;;1900-01-01;2013-05-31;30
ch:1:sboid:100646;100646;Busbetrieb Seetal-Freiamt;Busbetrieb Seetal-Freiamt;Busbetrieb Seetal-Freiamt;Busbetrieb Seetal-Freiamt;BSF;BSF;BSF;BSF;847;;1900-01-01;2005-12-10;30
ch:1:sboid:100647;100647;Automobildienst Sensetalbahn;Automobildienst Sensetalbahn;Automobildienst Sensetalbahn;Automobildienst Sensetalbahn;STB Auto;STB Auto;STB Auto;STB Auto;848;;1900-01-01;2012-05-31;30
ch:1:sboid:100653;100653;Auto Porrentruy-Bure casernes;Auto Porrentruy-Bure casernes;Auto Porrentruy-Bure casernes;Auto Porrentruy-Bure casernes;POST/PBu;POST/PBu;POST/PBu;POST/PBu;854;;1900-01-01;2008-05-31;95
ch:1:sboid:100656;100656;Automobiles Vevey-Châtel-St-Denis/-Bossonnens;Automobiles Vevey-Châtel-St-Denis/-Bossonnens;Automobiles Vevey-Châtel-St-Denis/-Bossonnens;Automobiles Vevey-Châtel-St-Denis/-Bossonnens;GFM/VMCV;GFM/VMCV;GFM/VMCV;GFM/VMCV;857;;1900-01-01;2001-06-09;30
ch:1:sboid:101482;101482;RTO Thônex                   O;RTO Thônex                   O;RTO Thônex                   O;RTO Thônex                   O;RTO THONEX;RTO THONEX;RTO THONEX;RTO THONEX;21623;;1900-01-01;2005-12-31;60
ch:1:sboid:101483;101483;Ritschard Genève             O;Ritschard Genève             O;Ritschard Genève             O;Ritschard Genève             O;RITSCHARD;RITSCHARD;RITSCHARD;RITSCHARD;21624;;1900-01-01;2005-06-30;60
ch:1:sboid:101484;101484;Mittelthurgau Weinfelden     O;Mittelthurgau Weinfelden     O;Mittelthurgau Weinfelden     O;Mittelthurgau Weinfelden     O;MITTELTHUR;MITTELTHUR;MITTELTHUR;MITTELTHUR;21625;;1900-01-01;2002-11-02;60
ch:1:sboid:101485;101485;Railtour Suisse Bern         O;Railtour Suisse Bern         O;Railtour Suisse Bern         O;Railtour Suisse Bern         O;RAILTOUR S;RAILTOUR S;RAILTOUR S;RAILTOUR S;21626;;1900-01-01;1999-03-31;60
ch:1:sboid:101486;101486;REISEBUERO SBB               O;REISEBUERO SBB               O;REISEBUERO SBB               O;REISEBUERO SBB               O;RB-SBB;RB-SBB;RB-SBB;RB-SBB;21627;;1900-01-01;1998-04-21;60
ch:1:sboid:101487;101487;Pacific Tours Zürich         O;Pacific Tours Zürich         O;Pacific Tours Zürich         O;Pacific Tours Zürich         O;PACIFIC ZH;PACIFIC ZH;PACIFIC ZH;PACIFIC ZH;21628;;1900-01-01;2006-04-30;60
ch:1:sboid:101488;101488;VATAN Zürich                 O;VATAN Zürich                 O;VATAN Zürich                 O;VATAN Zürich                 O;VATAN ZH;VATAN ZH;VATAN ZH;VATAN ZH;21629;;1900-01-01;2003-12-31;60
ch:1:sboid:101489;101489;Schmid Wettingen             O;Schmid Wettingen             O;Schmid Wettingen             O;Schmid Wettingen             O;SCHMID;SCHMID;SCHMID;SCHMID;21630;;1900-01-01;2003-12-31;60
ch:1:sboid:101490;101490;REISEDIENST ZOFINGEN         O;REISEDIENST ZOFINGEN         O;REISEDIENST ZOFINGEN         O;REISEDIENST ZOFINGEN         O;REISEDI ZF;REISEDI ZF;REISEDI ZF;REISEDI ZF;21631;;1900-01-01;1998-04-01;60
ch:1:sboid:101492;101492;STA Zürich                   O;STA Zürich                   O;STA Zürich                   O;STA Zürich                   O;STA ZUE;STA ZUE;STA ZUE;STA ZUE;21633;;1900-01-01;2015-05-31;60
ch:1:sboid:101493;101493;Graubünden Ferien Chur       O;Graubünden Ferien Chur       O;Graubünden Ferien Chur       O;Graubünden Ferien Chur       O;GRAUBUE CH;GRAUBUE CH;GRAUBUE CH;GRAUBUE CH;21634;;1900-01-01;2015-05-31;60
ch:1:sboid:100220;100220;Bettmeralp Bahnen;Bettmeralp Bahnen;Bettmeralp Bahnen;Bettmeralp Bahnen;BAB;BAB;BAB;BAB;262;;1900-01-01;2018-06-30;10
ch:1:sboid:100013;100013;Aargau Verkehr AG;Aargau Verkehr AG;Aargau Verkehr AG;Aargau Verkehr AG;AVA-bd;AVA-bd;AVA-bd;AVA-bd;31;;2018-07-01;2099-12-31;10
ch:1:sboid:100298;100298;Lenzerheide Bergbahnen Danis Stätz;Lenzerheide Bergbahnen Danis Stätz;Lenzerheide Bergbahnen Danis Stätz;Lenzerheide Bergbahnen Danis Stätz;LBDS;LBDS;LBDS;LBDS;341;;1900-01-01;2007-12-08;10
ch:1:sboid:100309;100309;Verbindungsbahn Basel;Verbindungsbahn Basel;Verbindungsbahn Basel;Verbindungsbahn Basel;DB/VB;DB/VB;DB/VB;DB/VB;352;;1900-01-01;2006-05-31;95
ch:1:sboid:100312;100312;Waldshut;Waldshut;Waldshut;Waldshut;DB/Whut;DB/Whut;DB/Whut;DB/Whut;355;;1900-01-01;2009-12-31;95
ch:1:sboid:100313;100313;Bodensee Längs/Ausflug SBB;Bodensee Längs/Ausflug SBB;Bodensee Längs/Ausflug SBB;Bodensee Längs/Ausflug SBB;SBB/Bsee;SBB/Bsee;SBB/Bsee;SBB/Bsee;356;;1900-01-01;2009-06-30;95
ch:1:sboid:101660;101660;City Night Line Zürich       O;City Night Line Zürich       O;City Night Line Zürich       O;City Night Line Zürich       O;CNL Zürich;CNL Zürich;CNL Zürich;CNL Zürich;21838;;1900-01-01;2015-05-31;60
ch:1:sboid:101154;101154;Pferdeomnibus Sils/Segl Maria-Fex;Pferdeomnibus Sils/Segl Maria-Fex;Pferdeomnibus Sils/Segl Maria-Fex;Pferdeomnibus Sils/Segl Maria-Fex;PSFM;PSFM;PSFM;PSFM;7021;;1900-01-01;2010-05-31;32
ch:1:sboid:101155;101155;Nachtbus Bern-Laupen;Nachtbus Bern-Laupen;Nachtbus Bern-Laupen;Nachtbus Bern-Laupen;NBL;NBL;NBL;NBL;7022;;1900-01-01;2014-12-13;32
ch:1:sboid:101157;101157;Commune de Bassins;Commune de Bassins;Commune de Bassins;Commune de Bassins;CB-fpl;CB-fpl;CB-fpl;CB-fpl;7024;;1900-01-01;2012-12-08;32
ch:1:sboid:101159;101159;Tramway du sud-ouest lausannois;Tramway du sud-ouest lausannois;Tramway du sud-ouest lausannois;Tramway du sud-ouest lausannois;TSOL;TSOL;TSOL;TSOL;7026;;1900-01-01;2013-12-14;32
ch:1:sboid:101161;101161;Autolinea Vico Morcote - Olivella;Autolinea Vico Morcote - Olivella;Autolinea Vico Morcote - Olivella;Autolinea Vico Morcote - Olivella;AVMO;AVMO;AVMO;AVMO;7028;;1900-01-01;2012-05-31;32
ch:1:sboid:101165;101165;Bus Biberbrugg-Sattelegg-Vorderthal;Bus Biberbrugg-Sattelegg-Vorderthal;Bus Biberbrugg-Sattelegg-Vorderthal;Bus Biberbrugg-Sattelegg-Vorderthal;BBSV;BBSV;BBSV;BBSV;7032;;1900-01-01;2010-12-11;32
ch:1:sboid:101166;101166;Bus Evionnaz-Dorénaz-Branson;Bus Evionnaz-Dorénaz-Branson;Bus Evionnaz-Dorénaz-Branson;Bus Evionnaz-Dorénaz-Branson;BEDB;BEDB;BEDB;BEDB;7033;;1900-01-01;2010-05-31;32
ch:1:sboid:101168;101168;Autobus Bitsch-Naters;Autobus Bitsch-Naters;Autobus Bitsch-Naters;Autobus Bitsch-Naters;ABN;ABN;ABN;ABN;7035;;1900-01-01;2010-05-31;32
ch:1:sboid:101169;101169;Autolinea SNL;Autolinea SNL;Autolinea SNL;Autolinea SNL;SNL AUTO1;SNL Auto1;SNL Auto1;SNL AUTO1;7036;;1900-01-01;2010-12-11;32
ch:1:sboid:101173;101173;Bus de la Commune de Chandolin;Bus de la Commune de Chandolin;Bus de la Commune de Chandolin;Bus de la Commune de Chandolin;BCC;BCC;BCC;BCC;7040;;1900-01-01;2014-12-13;32
ch:1:sboid:101174;101174;Personen Transporte und Touristik Fällanden;Personen Transporte und Touristik Fällanden;Personen Transporte und Touristik Fällanden;Personen Transporte und Touristik Fällanden;PTF;PTF;PTF;PTF;7041;;1900-01-01;2010-12-11;32
ch:1:sboid:101187;101187;Alpstein Touristik Eberle;Alpstein Touristik Eberle;Alpstein Touristik Eberle;Alpstein Touristik Eberle;ATE;ATE;ATE;ATE;7054;;1900-01-01;2014-12-13;32
ch:1:sboid:101199;101199;Transports urbains Bruntrutains;Transports urbains Bruntrutains;Transports urbains Bruntrutains;Transports urbains Bruntrutains;TUB Fpl;TUB Fpl;TUB Fpl;TUB Fpl;7066;;1900-01-01;2012-12-08;32
ch:1:sboid:101201;101201;Trasporti pubblici città di Mendrisio;Trasporti pubblici città di Mendrisio;Trasporti pubblici città di Mendrisio;Trasporti pubblici città di Mendrisio;TPCM Fpl;TPCM Fpl;TPCM Fpl;TPCM Fpl;7068;;1900-01-01;2011-12-10;32
ch:1:sboid:101219;101219;Gemeinde Thalwil;Gemeinde Thalwil;Gemeinde Thalwil;Gemeinde Thalwil;GDT;GDT;GDT;GDT;7086;;1900-01-01;2014-12-13;32
ch:1:sboid:101353;101353;Travelling 2000 Genève       O;Travelling 2000 Genève       O;Travelling 2000 Genève       O;Travelling 2000 Genève       O;TRAVELL GE;TRAVELL GE;TRAVELL GE;TRAVELL GE;21388;;1900-01-01;2015-05-31;60
ch:1:sboid:101354;101354;Urbatours Orbe               O;Urbatours Orbe               O;Urbatours Orbe               O;Urbatours Orbe               O;URBA  ORBE;URBA  ORBE;URBA  ORBE;URBA  ORBE;21389;;1900-01-01;2002-11-02;60
ch:1:sboid:101356;101356;Dest.Santé Chavannes-de-BogisO;Dest.Santé Chavannes-de-BogisO;Dest.Santé Chavannes-de-BogisO;Dest.Santé Chavannes-de-BogisO;DEST S CHA;DEST S CHA;DEST S CHA;DEST S CHA;21391;;1900-01-01;2009-06-30;60
ch:1:sboid:101358;101358;Geo Travel Uster             O;Geo Travel Uster             O;Geo Travel Uster             O;Geo Travel Uster             O;GEO TR UST;GEO TR UST;GEO TR UST;GEO TR UST;21393;;1900-01-01;2008-06-30;60
ch:1:sboid:101359;101359;Fritsche Zürich              O;Fritsche Zürich              O;Fritsche Zürich              O;Fritsche Zürich              O;FRITSCHEZH;FRITSCHEZH;FRITSCHEZH;FRITSCHEZH;21394;;1900-01-01;2012-04-30;60
ch:1:sboid:101360;101360;Universal Zürich             O;Universal Zürich             O;Universal Zürich             O;Universal Zürich             O;UNIVERS ZH;UNIVERS ZH;UNIVERS ZH;UNIVERS ZH;21395;;1900-01-01;2005-02-28;60
ch:1:sboid:101361;101361;Holiday Maker Zürich     BK  O;Holiday Maker Zürich     BK  O;Holiday Maker Zürich     BK  O;Holiday Maker Zürich     BK  O;9OLIDAY ZH;9OLIDAY ZH;9OLIDAY ZH;9OLIDAY ZH;21396;;1900-01-01;2012-03-05;60
ch:1:sboid:100663;100663;Autoverkehr Heimenschwand;Autoverkehr Heimenschwand;Autoverkehr Heimenschwand;Autoverkehr Heimenschwand;AVH;AVH;AVH;AVH;864;;1900-01-01;2000-12-31;30
ch:1:sboid:101506;101506;Soleans Travel Genève        O;Soleans Travel Genève        O;Soleans Travel Genève        O;Soleans Travel Genève        O;SOLEANS GE;SOLEANS GE;SOLEANS GE;SOLEANS GE;21649;;1900-01-01;2014-04-30;60
ch:1:sboid:101507;101507;Tourisair Genève             O;Tourisair Genève             O;Tourisair Genève             O;Tourisair Genève             O;TOURISA GE;TOURISA GE;TOURISA GE;TOURISA GE;21650;;1900-01-01;2005-05-31;60
ch:1:sboid:101508;101508;Univair Genève               O;Univair Genève               O;Univair Genève               O;Univair Genève               O;UNIVAIR GE;UNIVAIR GE;UNIVAIR GE;UNIVAIR GE;21651;;1900-01-01;2005-05-31;60
ch:1:sboid:101510;101510;Vista Basel                  O;Vista Basel                  O;Vista Basel                  O;Vista Basel                  O;VISTA BS;VISTA BS;VISTA BS;VISTA BS;21653;;1900-01-01;2005-05-31;60
ch:1:sboid:101511;101511;VCS Herzogenbuchsee          O;VCS Herzogenbuchsee          O;VCS Herzogenbuchsee          O;VCS Herzogenbuchsee          O;VCS HB;VCS HB;VCS HB;VCS HB;21654;;1900-01-01;2006-04-30;60
ch:1:sboid:101512;101512;Vella Bern                   O;Vella Bern                   O;Vella Bern                   O;Vella Bern                   O;VELLA;VELLA;VELLA;VELLA;21655;;1900-01-01;2000-05-31;60
ch:1:sboid:101513;101513;Travelworld Lausanne         O;Travelworld Lausanne         O;Travelworld Lausanne         O;Travelworld Lausanne         O;TRAVELWORL;TRAVELWORL;TRAVELWORL;TRAVELWORL;21656;;1900-01-01;2005-05-31;60
ch:1:sboid:101705;101705;S.A.F. Societa' Autoservizi Fontaneto SRL;S.A.F. Societa' Autoservizi Fontaneto SRL;S.A.F. Societa' Autoservizi Fontaneto SRL;S.A.F. Societa' Autoservizi Fontaneto SRL;SAFSRL;SAFSRL;SAFSRL;SAFSRL;7093;;2018-05-09;2099-12-31;30
ch:1:sboid:100871;100871;Deutsche Bundesbahn;Chemin de fer fédéral allemand;Deutsche Bundesbahn;German Federal Railways;DB       $;DB       $;DB       $;DB       $;1080;;1900-01-01;2018-10-16;11
ch:1:sboid:101707;101707;Società Navigazione del Lago di Lugano SA;Società Navigazione del Lago di Lugano SA;Società Navigazione del Lago di Lugano SA;Società Navigazione del Lago di Lugano SA;SNL-magg;SNL-magg;SNL-magg;SNL-magg;190;;2018-07-26;2099-12-31;20
ch:1:sboid:101205;101205;Società Trasporti Pubblici Sondrio S.p.A.;Società Trasporti Pubblici Sondrio S.p.A.;Società Trasporti Pubblici Sondrio S.p.A.;Società Trasporti Pubblici Sondrio S.p.A.;STPS;STPS;STPS;STPS;7072;;1900-01-01;2013-05-31;32
ch:1:sboid:101246;101246;Schweizerische Speisewagengesellschaft;Schweizerische Speisewagengesellschaft;Schweizerische Speisewagengesellschaft;Schweizerische Speisewagengesellschaft;-SSG-;-SSG-;-SSG-;-SSG-;9901;;1900-01-01;2001-06-30;95
ch:1:sboid:100351;100351;Parco Botanico Isole di Brissago;Parco Botanico Isole di Brissago;Parco Botanico Isole di Brissago;Parco Botanico Isole di Brissago;P Botanico;P Botanico;P Botanico;P Botanico;430;;1900-01-01;2002-08-31;50
ch:1:sboid:100353;100353;Rent a Bike AG;Rent a Bike AG;Rent a Bike AG;Rent a Bike AG;Rent Bike;Rent Bike;Rent Bike;Rent Bike;432;;1900-01-01;2012-05-31;50
ch:1:sboid:100367;100367;Tarifverbund Bern/Solothurn 2 (Abo);Tarifverbund Bern/Solothurn 2 (Abo);Tarifverbund Bern/Solothurn 2 (Abo);Tarifverbund Bern/Solothurn 2 (Abo);TV-BE/SO2;TV-BE/SO2;TV-BE/SO2;TV-BE/SO2;446;;1900-01-01;2015-01-31;51
ch:1:sboid:100379;100379;Tarifverbund Aargau;Tarifverbund Aargau;Tarifverbund Aargau;Tarifverbund Aargau;TVAG;TVAG;TVAG;TVAG;458;;1900-01-01;2015-01-31;51
ch:1:sboid:100399;100399;Communauté tarifaire fribourgeoise 2;Communauté tarifaire fribourgeoise 2;Communauté tarifaire fribourgeoise 2;Communauté tarifaire fribourgeoise 2;CTFR2;CTFR2;CTFR2;CTFR2;478;;1900-01-01;2015-01-31;51
ch:1:sboid:100404;100404;Communauté tarifaire neuchâteloise;Communauté tarifaire neuchâteloise;Communauté tarifaire neuchâteloise;Communauté tarifaire neuchâteloise;CTNE;CTNE;CTNE;CTNE;483;;1900-01-01;2015-01-31;51
ch:1:sboid:100000;100000;Zollbehandlungsgebühren Mini-tiger;Zollbehandlungsgebühren Mini-tiger;Zollbehandlungsgebühren Mini-tiger;Zollbehandlungsgebühren Mini-tiger;TIG ZBG;TIG ZBG;TIG ZBG;TIG ZBG;10;;1900-01-01;1997-12-31;
ch:1:sboid:100003;100003;Differenzen Incoming zulasten SBB;Differenzen Incoming zulasten SBB;Differenzen Incoming zulasten SBB;Differenzen Incoming zulasten SBB;SBB IP-2;SBB IP-2;SBB IP-2;SBB IP-2;13;;1900-01-01;2008-05-31;95
ch:1:sboid:100004;100004;VB-Anteile Minitiger;VB-Anteile Minitiger;VB-Anteile Minitiger;VB-Anteile Minitiger;TIG VB;TIG VB;TIG VB;TIG VB;16;;1900-01-01;1996-12-31;95
ch:1:sboid:100005;100005;Interfrigo;Interfrigo;Interfrigo;Interfrigo;IF;IF;IF;IF;19;;1900-01-01;2002-08-31;80
ch:1:sboid:100006;100006;ELCA Lausanne;ELCA Lausanne;ELCA Lausanne;ELCA Lausanne;ELCA;ELCA;ELCA;ELCA;20;;1900-01-01;1998-12-17;80
ch:1:sboid:100010;100010;Arth-Rigi-Bahn;Arth-Rigi-Bahn;Arth-Rigi-Bahn;Arth-Rigi-Bahn;ARB;ARB;ARB;ARB;25;;1900-01-01;2002-08-31;10
ch:1:sboid:100022;100022;Bern-Neuchâtel Gemeinschaft;Bern-Neuchâtel Gemeinschaft;Bern-Neuchâtel Gemeinschaft;Bern-Neuchâtel Gemeinschaft;BN Gem;BN Gem;BN Gem;BN Gem;40;;1900-01-01;2001-10-12;95
ch:1:sboid:100031;100031;Emmental-Burgdorf-Thun Gemeinschaft;Emmental-Burgdorf-Thun Gemeinschaft;Emmental-Burgdorf-Thun Gemeinschaft;Emmental-Burgdorf-Thun Gemeinschaft;EBT Gem;EBT Gem;EBT Gem;EBT Gem;50;;1900-01-01;2001-10-12;95
ch:1:sboid:100035;100035;Kriens-Luzern-Bahn (Güterverkehr);Kriens-Luzern-Bahn (Güterverkehr);Kriens-Luzern-Bahn (Güterverkehr);Kriens-Luzern-Bahn (Güterverkehr);KLB;KLB;KLB;KLB;54;;1900-01-01;2013-05-31;10
ch:1:sboid:100040;100040;THURBO Abrechnung;THURBO Abrechnung;THURBO Abrechnung;THURBO Abrechnung;THURBO Abr;THURBO Abr;THURBO Abr;THURBO Abr;59;;1900-01-01;2004-12-31;12
ch:1:sboid:100041;100041;THURBO Romanshorn-Schaffhausen;THURBO Romanshorn-Schaffhausen;THURBO Romanshorn-Schaffhausen;THURBO Romanshorn-Schaffhausen;THURBO/RS;THURBO/RS;THURBO/RS;THURBO/RS;60;;1900-01-01;2005-12-31;10
ch:1:sboid:100051;100051;Südostbahn Gemeinschaft;Südostbahn Gemeinschaft;Südostbahn Gemeinschaft;Südostbahn Gemeinschaft;SOB Gem;SOB Gem;SOB Gem;SOB Gem;70;;1900-01-01;2001-10-12;95
ch:1:sboid:100057;100057;SGA alt;SGA alt;SGA alt;SGA alt;SGA alt;SGA alt;SGA alt;SGA alt;77;;1900-01-01;2011-12-31;95
ch:1:sboid:100065;100065;Verkehrsbetriebe Zürcher Oberland;Verkehrsbetriebe Zürcher Oberland;Verkehrsbetriebe Zürcher Oberland;Verkehrsbetriebe Zürcher Oberland;VZO;VZO;VZO;VZO;87;;1900-01-01;1998-12-31;10
ch:1:sboid:100068;100068;Vereinigte Huttwil-Bahnen Gemeinschaft;Vereinigte Huttwil-Bahnen Gemeinschaft;Vereinigte Huttwil-Bahnen Gemeinschaft;Vereinigte Huttwil-Bahnen Gemeinschaft;VHB Gem;VHB Gem;VHB Gem;VHB Gem;90;;1900-01-01;2001-10-12;95
ch:1:sboid:100408;100408;Comunità Tariffale Ticino e Moesano;Comunità Tariffale Ticino e Moesano;Comunità Tariffale Ticino e Moesano;Comunità Tariffale Ticino e Moesano;CTTI;CTTI;CTTI;CTTI;487;;1900-01-01;2015-01-31;51
ch:1:sboid:100413;100413;Comunità Tariffale Ticino e Moesano Ozon;Comunità Tariffale Ticino e Moesano Ozon;Comunità Tariffale Ticino e Moesano Ozon;Comunità Tariffale Ticino e Moesano Ozon;CTTI-Ozon;CTTI-Ozon;CTTI-Ozon;CTTI-Ozon;492;;1900-01-01;2015-01-31;51
ch:1:sboid:100417;100417;Autosalon;Autosalon;Autosalon;Autosalon;AUTOSALON;AUTOSALON;AUTOSALON;AUTOSALON;496;;1900-01-01;2012-09-30;52
ch:1:sboid:100418;100418;BEA Bern;BEA Bern;BEA Bern;BEA Bern;BEA Bern;BEA Bern;BEA Bern;BEA Bern;497;;1900-01-01;2012-09-30;52
ch:1:sboid:100419;100419;COMPTOIR;COMPTOIR;COMPTOIR;COMPTOIR;COMPTOIR;COMPTOIR;COMPTOIR;COMPTOIR;498;;1900-01-01;2012-09-30;52
ch:1:sboid:100420;100420;OLMA;OLMA;OLMA;OLMA;OLMA;OLMA;OLMA;OLMA;499;;1900-01-01;2012-09-30;52
ch:1:sboid:101709;101709;VBG Verkehrsbetriebe Glattal AG;VBG Verkehrsbetriebe Glattal AG;VBG Verkehrsbetriebe Glattal AG;VBG Verkehrsbetriebe Glattal AG;VBG-T;VBG-T;VBG-T;VBG-T;509;info@vbg.ch;2018-08-15;2099-12-31;95
ch:1:sboid:100569;100569;Eurobus swiss-express AG;Eurobus swiss-express AG;Eurobus swiss-express AG;Eurobus swiss-express AG;ESE;ESE;ESE;ESE;767;;2018-07-07;2099-12-31;30
ch:1:sboid:101438;101438;Panalpina Basel              O;Panalpina Basel              O;Panalpina Basel              O;Panalpina Basel              O;PANALPINA;PANALPINA;PANALPINA;PANALPINA;21576;;1900-01-01;1999-12-31;60
ch:1:sboid:101440;101440;KEHRLI & OELER BERN          O;KEHRLI & OELER BERN          O;KEHRLI & OELER BERN          O;KEHRLI & OELER BERN          O;KEHRLI;KEHRLI;KEHRLI;KEHRLI;21578;;1900-01-01;1998-05-01;60
ch:1:sboid:101443;101443;FO-Tours Brig                O;FO-Tours Brig                O;FO-Tours Brig                O;FO-Tours Brig                O;FO-TOURS;FO-TOURS;FO-TOURS;FO-TOURS;21581;;1900-01-01;2004-05-31;60
ch:1:sboid:101445;101445;KD-Triton Basel              O;KD-Triton Basel              O;KD-Triton Basel              O;KD-Triton Basel              O;KD-TRITON;KD-TRITON;KD-TRITON;KD-TRITON;21583;;1900-01-01;2002-11-02;60
ch:1:sboid:101447;101447;Lamprecht Zürich             O;Lamprecht Zürich             O;Lamprecht Zürich             O;Lamprecht Zürich             O;LAMPRECHT;LAMPRECHT;LAMPRECHT;LAMPRECHT;21585;;1900-01-01;2015-05-31;60
ch:1:sboid:101449;101449;Reisebüro Hirschenp Langnau  O;Reisebüro Hirschenp Langnau  O;Reisebüro Hirschenp Langnau  O;Reisebüro Hirschenp Langnau  O;RB Hirs LN;RB Hirs LN;RB Hirs LN;RB Hirs LN;21587;;1900-01-01;2011-01-31;60
ch:1:sboid:101450;101450;Gerber Rothrist              O;Gerber Rothrist              O;Gerber Rothrist              O;Gerber Rothrist              O;GERBER RTR;GERBER RTR;GERBER RTR;GERBER RTR;21588;;1900-01-01;2006-04-30;60
ch:1:sboid:101631;101631;Rosa Travel Basel Missionsstr    O;Rosa Travel Basel Missionsstr    O;Rosa Travel Basel Missionsstr    O;Rosa Travel Basel Missionsstr    O;ROSA TRA;ROSA TRA;ROSA TRA;ROSA TRA;21805;;1900-01-01;2015-05-31;60
ch:1:sboid:101632;101632;OPEN TRAVEL GROUP KRAKOW          O;OPEN TRAVEL GROUP KRAKOW          O;OPEN TRAVEL GROUP KRAKOW          O;OPEN TRAVEL GROUP KRAKOW          O;Open Trav;Open Trav;Open Trav;Open Trav;21806;;1900-01-01;2007-01-31;60
ch:1:sboid:101633;101633;Sunwave Hamburg                   O;Sunwave Hamburg                   O;Sunwave Hamburg                   O;Sunwave Hamburg                   O;SUNWAVE HH;SUNWAVE HH;SUNWAVE HH;SUNWAVE HH;21807;;1900-01-01;2014-04-30;60
ch:1:sboid:101636;101636;Ascent Travel Moscow         O;Ascent Travel Moscow         O;Ascent Travel Moscow         O;Ascent Travel Moscow         O;ASC TRAVEL;ASC TRAVEL;ASC TRAVEL;ASC TRAVEL;21810;;1900-01-01;2012-08-15;60
ch:1:sboid:101637;101637;World Avenues Genève         O;World Avenues Genève         O;World Avenues Genève         O;World Avenues Genève         O;WORLD AV G;WORLD AV G;WORLD AV G;WORLD AV G;21812;;1900-01-01;2009-05-31;60
ch:1:sboid:101638;101638;British Marketing Paris      O;British Marketing Paris      O;British Marketing Paris      O;British Marketing Paris      O;BRMA PARIS;BRMA PARIS;BRMA PARIS;BRMA PARIS;21813;;1900-01-01;2015-05-31;60
ch:1:sboid:101639;101639;Sena Srl Firenze             O;Sena Srl Firenze             O;Sena Srl Firenze             O;Sena Srl Firenze             O;SENA FIREN;SENA FIREN;SENA FIREN;SENA FIREN;21814;;1900-01-01;2015-05-31;60
ch:1:sboid:101640;101640;CD Travel Praha              O;CD Travel Praha              O;CD Travel Praha              O;CD Travel Praha              O;CD T PRAHA;CD T PRAHA;CD T PRAHA;CD T PRAHA;21815;;1900-01-01;2009-05-31;60
ch:1:sboid:101643;101643;Rhätische Bahn Chur__________O;Rhätische Bahn Chur__________O;Rhätische Bahn Chur__________O;Rhätische Bahn Chur__________O;RHB CHUR;RHB CHUR;RHB CHUR;RHB CHUR;21818;;1900-01-01;2007-01-31;60
ch:1:sboid:101647;101647;Congrex Travel Basel         O;Congrex Travel Basel         O;Congrex Travel Basel         O;Congrex Travel Basel         O;Congrex BS;Congrex BS;Congrex BS;Congrex BS;21822;;1900-01-01;2014-04-30;60
ch:1:sboid:101648;101648;Método Barcelona             O;Método Barcelona             O;Método Barcelona             O;Método Barcelona             O;ME BARCEL;ME BARCEL;ME BARCEL;ME BARCEL;21823;;1900-01-01;2008-12-31;60
ch:1:sboid:101650;101650;Open Up Travel Moscow I      O;Open Up Travel Moscow I      O;Open Up Travel Moscow I      O;Open Up Travel Moscow I      O;Open Up SA;Open Up SA;Open Up SA;Open Up SA;21825;;1900-01-01;2015-05-31;60
ch:1:sboid:101651;101651;Open Up Travel Kiev I        O;Open Up Travel Kiev I        O;Open Up Travel Kiev I        O;Open Up Travel Kiev I        O;Open Up Ki;Open Up Ki;Open Up Ki;Open Up Ki;21826;;1900-01-01;2015-05-31;60
ch:1:sboid:101655;101655;Always Vacanze SNC Verbania  O;Always Vacanze SNC Verbania  O;Always Vacanze SNC Verbania  O;Always Vacanze SNC Verbania  O;ALW VA VER;ALW VA VER;ALW VA VER;ALW VA VER;21831;;1900-01-01;2012-04-30;60
ch:1:sboid:100715;100715;Eurotrek-Abenteuerreisen Zürich;Eurotrek-Abenteuerreisen Zürich;Eurotrek-Abenteuerreisen Zürich;Eurotrek-Abenteuerreisen Zürich;EUROTREK;EUROTREK;EUROTREK;EUROTREK;916;;1900-01-01;2011-12-31;50
ch:1:sboid:101341;101341;WORLDSPAN GLATTBRUGG         O;WORLDSPAN GLATTBRUGG         O;WORLDSPAN GLATTBRUGG         O;WORLDSPAN GLATTBRUGG         O;W-SPAN GLB;W-SPAN GLB;W-SPAN GLB;W-SPAN GLB;21376;;1900-01-01;1998-08-21;60
ch:1:sboid:101342;101342;ZENKLUSEN GRAECHEN           O;ZENKLUSEN GRAECHEN           O;ZENKLUSEN GRAECHEN           O;ZENKLUSEN GRAECHEN           O;ZENKLUSEN;ZENKLUSEN;ZENKLUSEN;ZENKLUSEN;21377;;1900-01-01;1998-08-21;60
ch:1:sboid:101343;101343;ZENTRUM MAENNEDORF           O;ZENTRUM MAENNEDORF           O;ZENTRUM MAENNEDORF           O;ZENTRUM MAENNEDORF           O;ZENT MAEN;ZENT MAEN;ZENT MAEN;ZENT MAEN;21378;;1900-01-01;1998-11-10;60
